Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
UNO,2016,Strategy,30000,0,28,3
WarCraft III,2002,Strategy,5811479.73,5038870.86,558,1335
WarCraft III: Reforged,2020,Strategy,865596.52,295883.84,99,132
"Warhammer 40,000: Dawn of War",2005,Strategy,79816.5,79816.5,7,3
"Warhammer 40,000: Dawn of War II",2009,Strategy,0,0,0,0
Warparty,2019,Strategy,1175,0,6,2
Windjammers,1994,Strategy,5401.47,4912.16,35,15
World in Conflict,2007,Strategy,293338.23,293338.23,38,11
World of Tanks,2010,Strategy,3671496.59,3598031.72,404,51
World of Tanks Blitz,2016,Strategy,63330,60000,14,6
Aim Gods,2020,First-Person Shooter,250000,0,2,1
Aliens versus Predator 2,2001,First-Person Shooter,40000,40000,1,1
Battalion 1944,2018,First-Person Shooter,202654.67,129863.88,121,28
Battlefield 1,2016,First-Person Shooter,0,0,0,0
Battlefield 2,2005,First-Person Shooter,91715.22,91715.22,0,12
Battlefield 2142,2006,First-Person Shooter,18546.14,18546.14,0,4
Battlefield 3,2011,First-Person Shooter,25407.46,25407.46,5,7
Battlefield 4,2013,First-Person Shooter,245766.46,212540.31,204,145
Battlefield 5,2018,First-Person Shooter,0,0,0,0
Battlefield Hardline,2015,First-Person Shooter,13463.28,13463.28,20,1
Beat Aim,2019,First-Person Shooter,430,0,12,6
Big Buck Hunter Arcade,2016,First-Person Shooter,76200,76200,3,1
Black Squad,2017,First-Person Shooter,8480.72,0,57,17
Blaston,2020,First-Person Shooter,2002.12,0,11,4
Borderlands 3,2019,First-Person Shooter,50000,0,16,1
Call of Duty,2003,First-Person Shooter,50629.77,50629.77,51,3
Call of Duty 2,2005,First-Person Shooter,66828.51,60874.71,41,17
Call of Duty 4: Modern Warfare,2007,First-Person Shooter,420331.47,387929.31,422,86
Call of Duty: Advanced Warfare,2014,First-Person Shooter,2611808.93,2267636.14,783,405
Call of Duty: Black Ops,2010,First-Person Shooter,375793.48,346969.18,118,23
Call of Duty: Black Ops 2,2012,First-Person Shooter,1479139.25,1430071.63,187,54
Call of Duty: Black Ops 4,2018,First-Person Shooter,6731938.95,6636161.95,379,68
Call of Duty: Black Ops Cold War,2020,First-Person Shooter,6035000,3500000,243,61
Call of Duty: Black Ops III,2015,First-Person Shooter,3939783.29,3783077.02,419,78
Call of Duty: Blackout,2018,First-Person Shooter,611608.35,321008.35,175,18
Call of Duty: Ghosts,2013,First-Person Shooter,1594185.25,1504472.89,199,76
Call of Duty: Infinite Warfare,2016,First-Person Shooter,4156205.06,4049855.06,341,80
Call of Duty: Mobile,2019,First-Person Shooter,40000,0,46,1
Call of Duty: Modern Warfare,2019,First-Person Shooter,7500784.5,678562.5,382,81
Call of Duty: Modern Warfare 2,2009,First-Person Shooter,117360.64,51010.64,65,20
Call of Duty: Modern Warfare 3,2011,First-Person Shooter,1160815.66,1144955.66,209,45
Call of Duty: Vanguard,2021,First-Person Shooter,0,0,0,0
Call of Duty: Warzone,2020,First-Person Shooter,8412724.13,0,1108,279
Call of Duty: World War II,2017,First-Person Shooter,4560271,4498605,270,65
Chex Quest,1996,First-Person Shooter,100,0,2,1
Counter-Strike,2000,First-Person Shooter,13553955.46,12840725.72,4225,1017
Counter-Strike Online,2016,First-Person Shooter,406989.6,406989.6,70,12
Counter-Strike: Condition Zero,2004,First-Person Shooter,162150.6,162150.6,111,3
Counter-Strike: Global Offensive,2012,First-Person Shooter,125325243.7,80930569.42,14408,5969
Counter-Strike: Source,2004,First-Person Shooter,3117222.29,2876766.03,1502,333
Critical Ops,2015,First-Person Shooter,12606.41,2500,4,3
CrossFire,2007,First-Person Shooter,6609445.02,5876309.23,643,310
Crysis,2007,First-Person Shooter,11340.95,11340.95,0,2
Day of Defeat,2003,First-Person Shooter,51180.41,51180.41,43,4
Day of Defeat: Source,2005,First-Person Shooter,14068.57,10286.47,50,8
Descent 3,1999,First-Person Shooter,50000,50000,1,1
Diabotical,2020,First-Person Shooter,181979.69,17104.36,323,193
Doom (2016),2016,First-Person Shooter,7000,7000,6,1
Doom 3,2004,First-Person Shooter,257748.16,257748.16,14,4
Doom II: Hell on Earth,1994,First-Person Shooter,5108.56,2200,14,8
DOOMBRINGER,2017,First-Person Shooter,567.77,0,8,4
Echo Arena,2017,First-Person Shooter,0,0,0,0
Enemy Territory: Quake Wars,2007,First-Person Shooter,60923.12,60923.12,27,4
Escape from Tarkov,2020,First-Person Shooter,114600,0,150,4
Evolve,2015,First-Person Shooter,131509.05,126054.1,110,33
F.E.A.R.,2005,First-Person Shooter,178000,178000,20,5
Ghost Recon Advanced Warfighter,2006,First-Person Shooter,24000,24000,0,2
Gundam Versus,2017,First-Person Shooter,280,280,6,1
Guns of Boom,2017,First-Person Shooter,198750,190000,8,21
Halo 2,2004,First-Person Shooter,1489362.47,1489362.47,119,71
Halo 2 Anniversary,2014,First-Person Shooter,468705.05,468705.05,97,20
Halo 3,2007,First-Person Shooter,2168079.4,2161479.4,210,42
Halo 4,2012,First-Person Shooter,430748.76,428498.76,66,19
Halo 5: Guardians,2015,First-Person Shooter,7071480.97,6782680.97,233,75
Halo: Combat Evolved,2001,First-Person Shooter,299281,299281,114,39
Halo: Infinite,2020,First-Person Shooter,0,0,0,0
Halo: Reach,2010,First-Person Shooter,772089.97,712089.97,121,29
Ironsight,2018,First-Person Shooter,0,0,0,0
Islands of Nyne,2017,First-Person Shooter,0,0,0,0
MechWarrior Online,2013,First-Person Shooter,143490,143490,0,1
Metal Gear Online,2008,First-Person Shooter,8000,0,37,8
osu!,2007,First-Person Shooter,96957.21,200,1333,46
Overwatch,2016,First-Person Shooter,31729882.28,18227464.45,3570,760
Painkiller,2004,First-Person Shooter,1015000,1015000,48,13
Paladins,2015,First-Person Shooter,2354557.6,1659000,589,76
Point Blank,2008,First-Person Shooter,699167.75,589898.15,297,32
Quake 4,2005,First-Person Shooter,557039.27,554788.51,103,54
Quake Champions,2017,First-Person Shooter,2759884.7,2120633.6,262,248
Quake II,1997,First-Person Shooter,140425.98,139800,34,12
Quake III Arena,1999,First-Person Shooter,1138806.44,1131262.61,260,105
Quake Live,2010,First-Person Shooter,682447.53,599972.93,214,411
QuakeWorld,1996,First-Person Shooter,103551.67,98005.44,49,17
Rage,2011,First-Person Shooter,5000,5000,3,1
Rainbow Six Siege,2015,First-Person Shooter,20431284.83,15116547.64,2153,350
Rainbow Six: Vegas,2006,First-Person Shooter,176400.77,176400.77,137,7
Rainbow Six: Vegas 2,2008,First-Person Shooter,79000,79000,0,8
Realm Royale,2018,First-Person Shooter,263000,0,47,9
Reflex,2015,First-Person Shooter,2458.37,163.66,24,9
Resistance 2,2008,First-Person Shooter,50400,0,194,1
Resistance 2,2008,First-Person Shooter,0,0,0,0
Return to Castle Wolfenstein,2001,First-Person Shooter,67424.3,67424.3,30,3
S.K.I.L.L. - Special Force 2,2013,First-Person Shooter,132532.93,116555.81,82,21
S.T.A.L.K.E.R.: Shadow of Chernobyl,2007,First-Person Shooter,4901.26,4901.26,0,1
Shadowrun,2007,First-Person Shooter,24000,24000,0,3
ShootMania Storm,2013,First-Person Shooter,262090.69,258286.5,108,43
Special Force,2004,First-Person Shooter,130250,130250,0,3
Splatoon,2015,First-Person Shooter,1390,0,3,4
Splatoon 2,2017,First-Person Shooter,10055,9755,13,7
Star Wars Jedi Knight II: Jedi Outcast,2002,First-Person Shooter,7679.25,7679.25,0,1
Sudden Attack,2005,First-Person Shooter,0,0,0,0
Team Fortress 2,2007,First-Person Shooter,718078.81,393807.2,1364,197
Uncharted 4: A Thief's End,2016,First-Person Shooter,46235.07,46235.07,5,1
Unreal Tournament,1999,First-Person Shooter,89000,89000,14,5
Unreal Tournament (2016),2016,First-Person Shooter,5084.97,0,82,8
Unreal Tournament 2003,2002,First-Person Shooter,147473.91,147473.91,33,14
Unreal Tournament 2004,2004,First-Person Shooter,133969.33,133969.33,41,12
Unreal Tournament 3,2007,First-Person Shooter,104977.82,104977.82,7,4
VALORANT,2020,First-Person Shooter,7282930.79,1682023.35,3121,510
Warface,2013,First-Person Shooter,109555,109555,32,2
Warsow,2012,First-Person Shooter,183,0,2,1
Wolfenstein: Enemy Territory,2003,First-Person Shooter,140963.24,138376.87,152,18
Xonotic,2010,First-Person Shooter,13305.01,26.07,143,39
Zula,2015,First-Person Shooter,1.00E+05,1.00E+05,20,1
Arena of Valor,2015,Multiplayer Online Battle Arena,35088668.78,32904367.67,741,66
Battlerite,2016,Multiplayer Online Battle Arena,65173.45,28000,86,75
Bloodline Champions,2011,Multiplayer Online Battle Arena,41905.32,40850,43,12
Creative Destruction,2018,Multiplayer Online Battle Arena,1.00E+05,0,8,1
Defense of the Ancients,2003,Multiplayer Online Battle Arena,857420.65,829658.68,468,94
Dofus,2004,Multiplayer Online Battle Arena,0,0,0,0
Dota 2,2013,Multiplayer Online Battle Arena,276393909.5,255264754.7,4076,1550
Heavy Metal Machines,2017,Multiplayer Online Battle Arena,12339.33,0,35,1
Heroes of Newerth,2010,Multiplayer Online Battle Arena,2918706.56,1552890.01,813,371
Heroes of the Storm,2015,Multiplayer Online Battle Arena,18193482.65,14196415.95,1256,476
Hyper Scape,2020,Multiplayer Online Battle Arena,299000,0,260,4
League of Legends,2009,Multiplayer Online Battle Arena,89474001.98,79397140.3,7900,2643
League of Legends: Wild Rift,2021,Multiplayer Online Battle Arena,150000,0,96,1
Legend of Glory,2015,Multiplayer Online Battle Arena,472.66,0,0,1
Minecraft,2011,Multiplayer Online Battle Arena,429539.15,10000,84,20
MOBA Legends,2016,Multiplayer Online Battle Arena,225,0,3,1
Mobile Legends: Bang Bang,2016,Multiplayer Online Battle Arena,297000,297000,10,1
Roblox,2006,Multiplayer Online Battle Arena,0,0,0,0
Shards of War,2015,Multiplayer Online Battle Arena,1029.21,0,20,1
SMITE,2014,Multiplayer Online Battle Arena,9250112.75,7872832.57,545,97
Splitgate: Arena Warfare,2019,Multiplayer Online Battle Arena,50000,0,64,2
Teeworlds,2007,Multiplayer Online Battle Arena,0,0,0,0
Vainglory,2014,Multiplayer Online Battle Arena,797421.19,696825.87,247,35
Blade & Soul,2012,Role-Playing Game,409355.52,409355.52,51,5
Guild Wars 2,2012,Role-Playing Game,476005.5,350000,152,57
Old School Runescape,2013,Role-Playing Game,437504.2,28500,77,25
Red Stone,2004,Role-Playing Game,58000,58000,12,2
Stardew Valley,2016,Role-Playing Game,54250,0,56,2
World of WarCraft,2004,Role-Playing Game,4957837.61,4615888.91,413,118
Acceleration of SUGURI 2,2018,Fighting Game,410,210,8,3
Akatsuki Blitzkampf,2007,Fighting Game,20,0,3,1
Aquapazza: Aquaplus Dream Match,2011,Fighting Game,245,245,5,2
Arcana Heart 3,2009,Fighting Game,1000,1000,4,1
Arcana Heart 3: Love Max Six Stars!!!!!,2014,Fighting Game,570,520,8,4
Arcana Heart 3: LOVE MAX!!!!!,2013,Fighting Game,410,410,6,2
ARMS,2017,Fighting Game,20130.77,13261.93,110,88
Asuka 120% LimitOver BURNING Fest.,1998,Fighting Game,10,0,3,1
Attack on Titan Tribute Game,2013,Fighting Game,108650,0,21,15
BlazBlue: Calamity Trigger,2008,Fighting Game,35,35,3,1
BlazBlue: Central Fiction,2015,Fighting Game,82976.91,82680.07,90,42
BlazBlue: Chronophantasma,2012,Fighting Game,37020.58,37020.58,63,15
BlazBlue: Chronophantasma Extend,2015,Fighting Game,4918.77,4918.77,28,11
BlazBlue: Continuum Shift Extend,2011,Fighting Game,0,0,3,1
BlazBlue: Continuum Shift II,2010,Fighting Game,24591.01,24591.01,14,5
BlazBlue: Cross Tag Battle,2018,Fighting Game,95866.82,93618.43,110,38
Brawlhalla,2015,Fighting Game,1940871.09,692347.3,637,514
Brawlout,2017,Fighting Game,0,0,0,0
Breakers Revenge,1998,Fighting Game,16,0,3,1
Capcom vs. SNK,2000,Fighting Game,140,140,6,2
Capcom vs. SNK 2,2001,Fighting Game,24246.79,24246.79,37,20
Chaos Code: New Sign of Catastrophe,2013,Fighting Game,140,140,3,1
Dead or Alive 4,2005,Fighting Game,497745.31,497745.31,45,13
Dead or Alive 5,2012,Fighting Game,0,0,4,2
Dead or Alive 5 Ultimate,2013,Fighting Game,0,0,37,7
Dead or Alive 5: Last Round,2015,Fighting Game,15413.82,15413.82,46,20
Dead or Alive 6,2019,Fighting Game,64532.54,63422.54,65,20
Dead or Alive Ultimate,2004,Fighting Game,30000,30000,3,1
Def Jam: Fight for NY,2004,Fighting Game,190,0,4,2
Dengeki Bunko: Fighting Climax,2014,Fighting Game,60,60,3,1
Dengeki Bunko: Fighting Climax Ignition,2015,Fighting Game,3202.8,3017.3,36,13
Digimon Rumble Arena,2001,Fighting Game,200,0,5,2
Divekick,2013,Fighting Game,5840,5840,27,11
Dragon Ball FighterZ,2018,Fighting Game,361498.77,338602.27,226,140
Dragon Ball Z: Budokai 3,2004,Fighting Game,204.06,204.06,3,1
Duck Game,2014,Fighting Game,750,0,5,2
Eternal Fighter Zero,2000,Fighting Game,1311.6,0,7,2
Fantasy Strike,2019,Fighting Game,5799.8,2610,21,5
Fight of Animals,2019,Fighting Game,630.68,0,9,4
Fighter's History Dynamite,1994,Fighting Game,195,195,3,1
Fighting EX Layer,2018,Fighting Game,1642.96,1632.96,16,7
Garou: Mark of the Wolves,1999,Fighting Game,658.71,513.71,13,4
Granblue Fantasy: Versus,2020,Fighting Game,160243.32,141172.21,65,71
Guilty Gear,1998,Fighting Game,32,32,3,1
Guilty Gear -STRIVE-,2021,Fighting Game,63750.62,12757.3,116,31
Guilty Gear Xrd -REVELATOR-,2016,Fighting Game,36437.43,36437.43,61,19
Guilty Gear Xrd -SIGN-,2014,Fighting Game,37445.66,37445.66,80,38
Guilty Gear Xrd REV 2,2017,Fighting Game,121276.37,121081.37,118,57
Guilty Gear XX,2002,Fighting Game,0,0,5,2
Guilty Gear XX #Reload,2003,Fighting Game,0,0,3,1
Guilty Gear XX Accent Core,2007,Fighting Game,10365,10365,33,4
Guilty Gear XX Accent Core Plus,2008,Fighting Game,0,0,3,1
Guilty Gear XX Accent Core Plus R,2012,Fighting Game,13802.14,5530,79,29
Guilty Gear XX Slash,2005,Fighting Game,10250,10250,6,2
Hokuto no Ken,2005,Fighting Game,145,145,3,1
Hyper Street Fighter II,2003,Fighting Game,10250,10250,8,1
HYPERFIGHT,2019,Fighting Game,140,0,4,2
Injustice 2,2017,Fighting Game,837447.16,836014.57,81,38
Injustice: Gods Among Us,2013,Fighting Game,35176.89,35176.89,101,117
JoJo's Bizarre Adventure: Heritage for the Future,1999,Fighting Game,324.99,0,8,3
Kill la Kill the Game: IF,2019,Fighting Game,920,770,12,4
Killer Instinct (2013),2013,Fighting Game,224986.96,224916.96,129,56
King of Fighters 2002 Unlimited Match,2009,Fighting Game,760,760,6,2
King of Fighters 98,1998,Fighting Game,7945.57,7945.57,7,3
King of Fighters XI,2005,Fighting Game,25,25,3,1
King of Fighters XIII,2010,Fighting Game,44724.28,44724.28,107,43
King of Fighters XIV,2016,Fighting Game,74402.09,73542.09,90,39
Kirby Fighters 2,2020,Fighting Game,222.86,0,4,1
Koihime Enbu,2016,Fighting Game,1765,1615,14,7
Lethal League Blaze,2018,Fighting Game,5643.92,1677.75,25,12
Maiden & Spell,2020,Fighting Game,325,0,5,2
Marvel vs. Capcom 2,2000,Fighting Game,39060,39050,60,28
Marvel vs. Capcom 3,2011,Fighting Game,22343.62,22343.62,38,12
Marvel vs. Capcom: Infinite,2017,Fighting Game,76256.72,76202.12,60,22
Melty Blood: Actress Again,2009,Fighting Game,0,0,10,2
Melty Blood: Actress Again Current Code,2010,Fighting Game,9529.93,6765,60,22
Melty Blood: Type Lumina,2021,Fighting Game,2004.59,2004.59,8,1
Mighty Fight Federation,2021,Fighting Game,100,0,3,1
Million Arthur: Arcana Blood,2017,Fighting Game,7540,7530,12,4
Mordhau,2019,Fighting Game,16623,0,40,3
Mortal Kombat 11,2019,Fighting Game,543476.88,482214.68,206,48
Mortal Kombat 9,2011,Fighting Game,136891.67,136891.67,67,26
Mortal Kombat vs. DC Universe,2008,Fighting Game,0,0,3,1
Mortal Kombat X,2015,Fighting Game,523532.42,523532.42,100,62
Mortal Kombat XL,2016,Fighting Game,134203.79,129203.79,55,18
Mystery Game Tournament,2019,Fighting Game,10995,10995,56,8
Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting Game,4550,2000,7,5
Naruto: Gekitou Ninja Taisen! 4,2005,Fighting Game,200,0,3,1
Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting Game,1994,1994,10,4
Persona 4 Arena,2012,Fighting Game,6336.63,6336.63,42,11
Persona 4 Arena Ultimax,2013,Fighting Game,18948.16,18948.16,61,20
Pocket Rumble,2016,Fighting Game,185,0,5,2
Pokk<U+00E9>n Tournament,2016,Fighting Game,77216.66,76971.66,65,26
Pokk<U+00E9>n Tournament DX,2017,Fighting Game,22125.4,21914,44,28
Power Instinct: Matrimelee,2002,Fighting Game,90,0,5,2
Power Rangers: Battle for the Grid,2019,Fighting Game,4540.6,880,22,9
Power Rangers: Legacy Wars,2017,Fighting Game,4178.55,4178.55,2,1
Project Justice,2000,Fighting Game,165,165,3,1
Project M,2010,Fighting Game,205292.09,205292.09,560,335
Project Plus,2019,Fighting Game,195,0,6,2
Punch Planet,2017,Fighting Game,400,0,6,2
Red Earth,1996,Fighting Game,100,0,3,1
Rising Thunder,2015,Fighting Game,1000,1000,3,1
Rivals of Aether,2015,Fighting Game,39268.62,36737,50,21
Roof Rage,2019,Fighting Game,50,0,3,1
Rushdown Revolt,2021,Fighting Game,4160.09,0,31,18
Sailor Moon S,1995,Fighting Game,3281.19,3271.19,20,12
Samurai Shodown (2019),2019,Fighting Game,77723.31,77598.31,72,19
Samurai Shodown III,1995,Fighting Game,70,0,5,2
Samurai Shodown V Special,2004,Fighting Game,590.57,490.11,15,5
Schwarzerblitz,2020,Fighting Game,200,0,5,2
Sekiro: Shadows Die Twice,2019,Fighting Game,19596,0,20,1
Shovel Knight Showdown,2019,Fighting Game,60,60,3,1
Shrek SuperSlam,2005,Fighting Game,80,0,4,2
Skullgirls,2012,Fighting Game,300,300,3,1
Skullgirls 2nd Encore,2015,Fighting Game,23663.02,18351,40,18
Skullgirls Encore,2014,Fighting Game,9155.4,9155.4,37,13
Slap City,2018,Fighting Game,600,0,5,2
SLAYERS FOR HIRE,2020,Fighting Game,600,0,8,2
Smash Remix,2019,Fighting Game,299.06,0,4,1
SNK Heroines: Tag Team Frenzy,2018,Fighting Game,430,430,3,1
Soul Calibur II,2003,Fighting Game,4980,4980,17,8
Soul Calibur II HD Online,2013,Fighting Game,945.41,945.41,29,5
Soul Calibur IV,2008,Fighting Game,260,260,3,2
Soul Calibur V,2012,Fighting Game,60428.54,60428.54,79,27
Soul Calibur VI,2018,Fighting Game,174401.08,156727.09,114,65
Street Fighter Alpha 2,1996,Fighting Game,2594.69,1480,23,10
Street Fighter Alpha 3,1998,Fighting Game,340,340,16,5
Street Fighter EX2 Plus,1999,Fighting Game,350,350,5,2
Street Fighter III: 3rd Strike,1999,Fighting Game,50741.58,50174.36,92,40
Street Fighter IV,2009,Fighting Game,7938.22,7938.22,41,12
Street Fighter V,2016,Fighting Game,2218298.43,2218298.43,239,122
Street Fighter V: Arcade Edition,2018,Fighting Game,2266885.95,2266035.95,235,105
Street Fighter V: Champion Edition,2020,Fighting Game,640849.37,195366.91,165,102
Street Fighter X Tekken,2012,Fighting Game,84090.64,83229.34,115,93
Super Smash Bros.,1999,Fighting Game,68832.81,68692.81,238,126
Super Smash Bros. Brawl,2008,Fighting Game,247285.83,247285.83,503,345
Super Smash Bros. for Wii U,2014,Fighting Game,1515451.47,1512816.47,1281,1035
Super Smash Bros. Melee,2001,Fighting Game,3421849.63,3357230.86,1906,2626
Super Smash Bros. Ultimate,2018,Fighting Game,1833885.92,1524812.85,2204,1534
Super Street Fighter II Turbo,1994,Fighting Game,24322.45,24322.45,109,47
Super Street Fighter II Turbo HD Remix,2008,Fighting Game,16360,16360,29,8
Super Street Fighter IV,2010,Fighting Game,30229.3,20877.3,43,18
Super Street Fighter IV Arcade Edition,2010,Fighting Game,355586.67,355586.67,154,204
Tatsunoko vs. Capcom: Ultimate All-Stars,2010,Fighting Game,2771.76,1330.81,16,16
Teenage Mutant Ninja Turtles: Tournament Fighters,1993,Fighting Game,820,820,7,2
Tekken 4,2001,Fighting Game,12500,12500,4,4
Tekken 5,2004,Fighting Game,10250,10250,10,9
Tekken 5: Dark Resurrection,2006,Fighting Game,12180,12180,18,5
Tekken 6,2007,Fighting Game,119874.64,119874.64,59,30
Tekken 7,2015,Fighting Game,1837550.88,1803181.77,447,260
Tekken Tag Tournament,1999,Fighting Game,0,0,7,4
Tekken Tag Tournament 2,2011,Fighting Game,126175.7,126175.7,143,139
The Last Blade 2,1998,Fighting Game,60,0,4,2
Them's Fightin' Herds,2018,Fighting Game,4578.19,530,28,29
Toribash,2006,Fighting Game,100,0,3,1
Tough Love Arena,2021,Fighting Game,100,0,3,1
Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,2009,Fighting Game,4501.52,220,18,6
TowerFall: Ascension,2013,Fighting Game,0,0,0,0
Ultimate Marvel vs. Capcom 3,2011,Fighting Game,123611.42,121484.07,195,178
Ultimate Mortal Kombat 3,1995,Fighting Game,150,150,6,2
Ultra Fight Da! Kyanta 2,2019,Fighting Game,320,320,3,1
Ultra Street Fighter IV,2014,Fighting Game,817003.46,816963.46,231,230
Umineko: Golden Fantasia,2010,Fighting Game,190,90,9,3
Under Night In-Birth EXE: Late,2014,Fighting Game,6025.76,6025.76,52,23
Under Night In-Birth EXE: Late[st],2015,Fighting Game,54583.33,54583.33,109,40
Under Night In-Birth Exe:Late[cl-r],2020,Fighting Game,2231.13,1601.37,25,5
Vampire Savior,1997,Fighting Game,9465.95,8318.74,32,20
Virtua Fighter 4: Evolution,2002,Fighting Game,0,0,6,3
Virtua Fighter 5,2007,Fighting Game,39830,39830,14,7
Virtua Fighter 5 Final Showdown,2010,Fighting Game,573.77,573.77,28,6
Virtua Fighter 5: Ultimate Showdown,2021,Fighting Game,1000,0,13,2
WWE 2K20,2019,Fighting Game,50000,0,20,2
Asphalt 4,2008,Racing,29500,29500,5,2
Asphalt 9: Legends,2018,Racing,51520,51520,5,2
Assetto Corsa,2014,Racing,390422.51,255702.2,197,66
Assetto Corsa Competizione,2018,Racing,94088,88750,23,16
Dirt Rally 2.0,2019,Racing,10000,10000,5,2
F1 2018,2018,Racing,2.00E+05,2.00E+05,21,1
F1 2019,2019,Racing,538047.38,538047.38,25,2
F1 2020,2020,Racing,752235,0,42,3
Forza Motorsport 2,2007,Racing,222000,222000,17,2
Forza Motorsport 3,2009,Racing,11000,11000,3,2
Forza Motorsport 4,2011,Racing,132.37,132.37,2,1
Forza Motorsport 6,2015,Racing,172600,170200,43,9
Forza Motorsport 7,2017,Racing,820200,616200,124,12
Gran Turismo 3: A-Spec,2001,Racing,3250,3250,4,2
Gran Turismo 4,2004,Racing,44000,44000,5,2
Gran Turismo Sport,2017,Racing,28667.98,27511,101,13
GRID (2019),2019,Racing,218.75,218.75,3,1
Hot Lap League,2021,Racing,0,0,0,0
iRacing.com,2008,Racing,2183199.43,160517.1,1083,139
KartRider,2004,Racing,567366.35,567366.35,76,20
Live for Speed,2003,Racing,11599.14,9219.14,22,9
Mad Skills Motocross 2,2017,Racing,20163,20163,12,1
Mario Kart 8 Deluxe,2017,Racing,1754.44,1754.44,30,4
NASCAR Heat 4,2019,Racing,200500,0,34,5
Nascar Heat 5,2020,Racing,6125,2500,20,2
NASCAR Thunder 2002,2001,Racing,7679.25,7679.25,0,1
NASCAR Thunder 2003,2002,Racing,5933.5,5933.5,0,1
Need for Speed Carbon,2006,Racing,36322.58,36322.58,12,4
Need for Speed: Most Wanted,2005,Racing,35694.54,35694.54,18,7
Need for Speed: ProStreet,2007,Racing,32208.46,32208.46,12,3
Need for Speed: Shift,2009,Racing,10500,10500,3,1
Need for Speed: Underground,2003,Racing,35000,35000,3,1
Need for Speed: Underground 2,2004,Racing,35629.48,35629.48,8,3
Project Cars,2015,Racing,68029.21,10602.71,50,115
Project Cars 2,2017,Racing,66150,58150,37,22
Project Gotham Racing 2,2003,Racing,35000,35000,4,2
Project Gotham Racing 3,2005,Racing,297286.85,297286.85,33,10
Project Gotham Racing 4,2007,Racing,25208.46,25208.46,5,4
RaceRoom Racing Experience,2013,Racing,159963.7,74108.7,147,22
rFactor,2005,Racing,15083.56,0,51,4
rFactor 2,2013,Racing,1446593.9,1067031.94,261,65
Speedrunners,2016,Racing,150,0,5,2
Trackmania (2020),2020,Racing,145829.92,3296.78,247,213
TrackMania 2: Canyon,2011,Racing,22098.74,16559.04,21,36
TrackMania 2: Stadium,2013,Racing,198832.27,107640.31,349,284
Trackmania 2: Valley,2013,Racing,779.34,779.34,6,2
TrackMania Nations,2006,Racing,93381.66,53381.66,18,8
TrackMania Nations Forever,2008,Racing,167386.65,146554.75,109,73
Trackmania Turbo,2016,Racing,679.41,0,6,2
Trackmania United,2006,Racing,1027.5,1027.5,3,1
Trackmania United Forever,2008,Racing,0,0,0,0
Trials Fusion,2014,Racing,0,0,0,0
